Block;Tray;Position;Focal.sp;Neighb.ID;Neighb.Age;Rowtype;0;2;4;6;8;10;12;14;17
5;18;2;Pl;Pl;Y;Pl-Pl-Y;1;1;2;4;6;7;7;7;7
5;18;3;Leu;Leu;Y;Leu-Leu-Y;1;1;1;1;1;1;3;3;3
5;18;4;Pl;Ant;O;Pl-Ant-O;1;1;1;2;3;6;7;7;7
5;18;5;Pl;None;None;Pl-None-None;1;1;2;3;5;7;7;7;7
5;19;1;Leu;Leu;O;Leu-Leu-O;1;1;1;1;1;1;1;1;1
5;19;2;Pl;Ant;Y;Pl-Ant-Y;1;1;1;4;6;7;7;7;7
5;19;3;Leu;Pl;Y;Leu-Pl-Y;1;1;2;5;7;7;7;7;7
5;19;5;Leu;Fes;O;Leu-Fes-O;1;1;2;3;3;3;3;3;3
5;20;1;Pl;Leu;Y;Pl-Leu-Y;1;1;2;5;6;7;7;7;7
5;20;2;Leu;Ant;O;Leu-Ant-O;1;1;2;2;2;2;2;3;3
5;20;3;Leu;None;None;Leu-None-None;1;1;2;4;4;4;4;4;4
5;20;4;Pl;Pl;O;Pl-Pl-O;1;1;1;1;1;4;4;6;7
5;20;5;Leu;Fes;Y;Leu-Fes-Y;1;1;2;2;2;2;2;2;2
6;21;1;Leu;Ant;Y;Leu-Ant-Y;1;1;1;1;1;1;1;1;1
6;21;2;Leu;Pl;O;Leu-Pl-O;1;1;1;3;4;5;5;5;5
6;21;5;Pl;None;None;Pl-None-None;1;1;2;4;6;7;7;7;7
6;22;1;Pl;Pl;Y;Pl-Pl-Y;1;2;3;5;7;7;7;7;7
6;22;2;Pl;Leu;O;Pl-Leu-O;1;1;2;3;5;7;7;7;7
6;22;3;Pl;Fes;Y;Pl-Fes-Y;1;1;3;4;7;7;7;7;7
6;22;4;Leu;Ant;O;Leu-Ant-O;1;1;1;2;2;2;2;2;2
6;22;5;Leu;None;None;Leu-None-None;1;1;1;2;3;3;3;3;3
6;23;1;Pl;Pl;O;Pl-Pl-O;1;1;2;4;5;5;7;7;7
6;23;2;Pl;Leu;Y;Pl-Leu-Y;1;1;2;4;6;7;7;7;7
6;23;4;Leu;Fes;O;Leu-Fes-O;1;1;1;1;2;2;2;2;2
6;23;5;Pl;Ant;Y;Pl-Ant-Y;1;1;1;3;5;7;7;7;7
6;24;1;Pl;Fes;O;Pl-Fes-O;1;1;2;2;6;7;7;7;7
6;24;2;Leu;Leu;Y;Leu-Leu-Y;1;1;2;2;2;2;2;2;2
6;24;3;Leu;Pl;Y;Leu-Pl-Y;1;1;3;5;7;7;7;7;7
6;24;4;Pl;Ant;O;Pl-Ant-O;1;1;1;3;4;5;7;7;7
7;25;2;Leu;Fes;O;Leu-Fes-O;1;1;1;1;1;1;1;1;1
7;25;3;Leu;Pl;Y;Leu-Pl-Y;1;1;2;4;7;7;7;7;7
7;25;4;Pl;Ant;Y;Pl-Ant-Y;1;1;2;4;6;7;7;7;7
7;25;5;Pl;Leu;O;Pl-Leu-O;1;1;1;1;4;4;6;6;6
7;26;1;Leu;None;None;Leu-None-None;1;1;2;3;3;4;4;4;4
7;26;3;Leu;Leu;O;Leu-Leu-O;1;1;1;1;1;1;1;1;1
7;26;4;Pl;Pl;Y;Pl-Pl-Y;1;1;2;3;6;7;7;7;7
7;26;5;Leu;Fes;Y;Leu-Fes-Y;1;1;1;2;3;5;5;7;7
7;27;1;Pl;Leu;Y;Pl-Leu-Y;1;1;2;4;5;7;7;7;7
7;27;2;Pl;Ant;O;Pl-Ant-O;1;1;1;2;3;3;3;6;7
7;27;3;Pl;Pl;O;Pl-Pl-O;1;1;1;1;4;5;7;7;7
7;27;5;Pl;Fes;Y;Pl-Fes-Y;1;1;1;2;3;3;6;6;7
7;28;1;Leu;Ant;Y;Leu-Ant-Y;1;1;1;1;1;2;2;2;2
7;28;2;Pl;Fes;O;Pl-Fes-O;1;1;1;3;4;5;7;7;7
7;28;3;Pl;None;None;Pl-None-None;1;1;3;4;7;7;7;7;7
7;28;4;Leu;Pl;O;Leu-Pl-O;1;1;1;3;3;3;3;4;4
7;28;5;Leu;Leu;Y;Leu-Leu-Y;1;1;1;2;2;2;2;2;2
8;29;1;Pl;Leu;O;Pl-Leu-O;1;1;1;1;2;6;7;7;7
8;29;2;Pl;None;None;Pl-None-None;1;1;1;1;1;1;4;6;7
8;29;3;Pl;Ant;Y;Pl-Ant-Y;1;1;1;3;5;7;7;7;7
8;29;4;Leu;Fes;O;Leu-Fes-O;1;1;1;1;1;1;1;1;1
8;29;5;Leu;Pl;Y;Leu-Pl-Y;1;1;1;2;4;6;7;7;7
8;30;1;Leu;Fes;Y;Leu-Fes-Y;1;1;1;1;1;1;1;1;1
8;30;2;Pl;Leu;Y;Pl-Leu-Y;1;1;1;1;3;3;6;6;7
8;30;3;Leu;Pl;O;Leu-Pl-O;1;1;1;1;1;1;1;1;1
8;30;5;Pl;Ant;O;Pl-Ant-O;1;1;1;2;2;4;5;5;7
8;31;1;Pl;Fes;Y;Pl-Fes-Y;1;1;1;1;1;3;3;3;3
8;31;2;Pl;Pl;Y;Pl-Pl-Y;1;1;1;2;3;6;7;7;7
8;31;4;Leu;None;None;Leu-None-None;1;1;1;1;1;1;1;1;1
8;31;5;Leu;Leu;O;Leu-Leu-O;1;1;1;1;1;1;1;1;1
8;32;1;Leu;Leu;Y;Leu-Leu-Y;1;1;1;3;3;3;3;3;3
8;32;3;Pl;Fes;O;Pl-Fes-O;1;1;1;1;3;5;5;6;7
8;32;4;Pl;Pl;O;Pl-Pl-O;1;1;1;1;2;4;4;6;7
8;32;5;Leu;Ant;Y;Leu-Ant-Y;1;1;1;1;1;1;1;1;1
9;33;1;Pl;None;None;Pl-None-None;1;1;1;1;1;1;3;4;6
9;33;3;Leu;Pl;Y;Leu-Pl-Y;1;1;2;3;3;6;7;7;7
9;33;4;Pl;Leu;O;Pl-Leu-O;1;1;1;3;3;3;3;3;3
9;33;5;Pl;Ant;Y;Pl-Ant-Y;1;1;1;2;4;6;7;7;7
9;34;1;Leu;Leu;Y;Leu-Leu-Y;1;1;2;3;3;3;5;5;5
9;34;2;Pl;Ant;O;Pl-Ant-O;1;1;1;3;6;7;7;7;7
9;34;4;Pl;Pl;O;Pl-Pl-O;1;1;1;4;4;7;7;7;7
9;34;5;Leu;Fes;Y;Leu-Fes-Y;1;1;1;1;1;1;1;1;1
9;35;1;Pl;Fes;Y;Pl-Fes-Y;1;1;1;3;5;7;7;7;7
9;35;3;Leu;Leu;O;Leu-Leu-O;1;1;1;1;1;1;1;1;1
9;35;4;Leu;Pl;O;Leu-Pl-O;1;1;1;2;3;3;7;7;7
9;35;5;Leu;Ant;Y;Leu-Ant-Y;1;1;1;1;1;1;1;1;1
9;36;1;Pl;Leu;Y;Pl-Leu-Y;1;1;1;1;4;6;7;7;7
9;36;2;Leu;Ant;O;Leu-Ant-O;1;1;2;3;4;6;6;6;7
9;36;3;Pl;Pl;Y;Pl-Pl-Y;1;1;1;3;5;7;7;7;7
9;36;4;Leu;Fes;O;Leu-Fes-O;1;1;1;1;1;1;1;1;1
9;36;5;Leu;None;None;Leu-None-None;1;1;1;2;4;5;5;5;7
10;37;2;Leu;Leu;O;Leu-Leu-O;1;1;1;1;1;1;1;1;1
10;37;3;Leu;Fes;Y;Leu-Fes-Y;1;1;1;2;2;2;2;2;2
10;37;4;Leu;Pl;O;Leu-Pl-O;1;1;1;3;3;4;6;7;7
10;37;5;Pl;Ant;Y;Pl-Ant-Y;1;1;1;3;5;7;7;7;7
10;38;1;Leu;Fes;O;Leu-Fes-O;1;1;2;3;3;3;3;3;3
10;38;2;Leu;None;None;Leu-None-None;1;1;3;3;3;7;7;7;7
10;38;3;Pl;Ant;O;Pl-Ant-O;1;1;1;1;1;4;5;5;5
10;38;4;Pl;Pl;Y;Pl-Pl-Y;1;1;2;5;7;7;7;7;7
10;38;5;Leu;Leu;Y;Leu-Leu-Y;1;1;2;3;6;7;7;7;7
10;39;1;Leu;Ant;Y;Leu-Ant-Y;1;1;2;2;2;3;3;4;5
10;39;2;Pl;Fes;O;Pl-Fes-O;1;1;1;1;3;4;7;7;7
10;39;3;Pl;Leu;Y;Pl-Leu-Y;1;1;1;4;5;7;7;7;7
10;39;4;Pl;None;None;Pl-None-None;1;1;2;4;6;7;7;7;7
10;39;5;Pl;Pl;O;Pl-Pl-O;1;1;1;1;4;6;7;7;7
10;40;1;Pl;Fes;Y;Pl-Fes-Y;1;1;1;3;4;6;7;7;7
